NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	GeranCellRelationId	awOffset	bqOffset	bqOffsetAfr	cand	cs	hiHyst	kHyst	kOffset	lHyst	lOffset	loHyst	offset	tRHyst	tROffset
TO3BSC1	1	1	1	T35MD2	T35M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MD2	T35M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MD3	T35M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MD1	T35M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MC1	T35M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MC1	T35M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MC2	T54M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MC2	T54M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MC2	T54MP3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T75MP1	T54MP2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T65KA2	T54MP2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T65KA3	T54M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MA2	T35M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12M2	T54MP1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12M2	T54MP2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12M2	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T06MN2	T35M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12M1	T54MP3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T06MN1	T35M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM1	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM2	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM2	T35M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	TMQ3	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T84M2	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ1	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ1	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T25MK2	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T25MK3	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54MP1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ2	T54MP2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM3	T35M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM3	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35MM3	T35M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55M2	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55M2	T54M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55M2	T54M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55M1	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	TMQ1	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T25MK1	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T84M3	T35M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T84M3	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T84M3	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T84M1	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55M3	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ3	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T55MJ3	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	TMQ2	T35M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	TMQ2	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	TMQ2	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA3	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA3	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA3	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA2	T54MP3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA2	T54M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA2	T54M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA1	T35M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA1	T54M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA1	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA1	T35M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA1	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA3	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA3	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA2	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA2	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA1	T54MP2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA1	T54MP1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA1	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA1	T54M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA1	T54M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MS1	T54MP1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T55MC1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T35MM2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	TMQ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T84M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T54M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T35MM3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T54MA3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T54MA1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T35M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T54MA2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T35M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T54M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T54MP1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T54MA1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T12MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T55M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T55MJ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T55MC2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T06MN2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T35MM3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T54MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T06MN1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T84M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	TMQ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T35MA2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T35M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T35MM3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T35MM1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T35MM2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T54MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T25MK1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T25MK2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T25MK3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T84M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T84M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T84M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	TMQ1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	TMQ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	TMQ3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T55MC1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T35MD1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M1	T35MD2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M2	T55MJ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M2	T55M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M2	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M2	T12MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M2	T54M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M2	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M2	T54MP1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M2	T54MP3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M2	T54MP2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T54MA2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T55MC2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T54M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T54M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T54MP3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T12M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T12MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T12MA2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T12MA3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T54MA3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T55M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T55M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T55M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T55MJ1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T55MJ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M3	T55MJ3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T54MA2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T54M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T54MP2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T54M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T54MP1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T12M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T12MA2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T12MA3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T54MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T54MA3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T55MJ1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T55MJ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T55MJ3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP3	T55MC2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP2	T54MA2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP2	T54MP1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP2	T54M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP2	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP2	T12MS1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP2	T12M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP2	T12MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP2	T55MJ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T54M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T54M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T54MP2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T12M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T12MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T12MS1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MP1	T55MJ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
